bas_dd,isu_cd,open,high,low,close,acc_trdvol,acc_trdval,idx_ind_nm
20190723,069500,27600,27755,27555,27670,3929959,108820591725,코스피 200
20190724,069500,27605,27740,27375,27405,4103414,112856722135,코스피 200
20190725,069500,27480,27535,27215,27355,4769436,130572957330,코스피 200
20190726,069500,27230,27335,27165,27295,2076932,56609699865,코스피 200
20190729,069500,27250,27275,26830,26930,3331833,89895806120,코스피 200
20190730,069500,26955,27020,26885,26940,6347764,171107191715,코스피 200
20190731,069500,26850,26975,26575,26670,4574038,122249444630,코스피 200
20190801,069500,26505,26795,26490,26640,3951328,105317601320,코스피 200
20190802,069500,26355,26420,26210,26340,6971159,183653218340,코스피 200
20190805,069500,26210,26500,25730,25770,15872360,410355135190,코스피 200
20190806,069500,25185,25745,25125,25410,12185499,309941631695,코스피 200
20190807,069500,25410,25520,25160,25255,6901845,174632774170,코스피 200
20190808,069500,25465,25580,25275,25365,6040438,153363337505,코스피 200
20190809,069500,25520,25645,25485,25540,5254973,134309566520,코스피 200
20190812,069500,25560,25670,25480,25580,5376182,137642065950,코스피 200
20190813,069500,25470,25480,25305,25320,5236137,132835598570,코스피 200
20190814,069500,25570,25710,25480,25500,8178017,209099109605,코스피 200
20190816,069500,25350,25415,25175,25415,4961381,125874495290,코스피 200
20190819,069500,25575,25620,25465,25575,4439510,113448495333,코스피 200
20190820,069500,25560,25875,25525,25825,5105754,131405756735,코스피 200
20190821,069500,25775,25970,25760,25875,6792363,175614331090,코스피 200
20190822,069500,25900,25900,25645,25670,5151999,132554677345,코스피 200
20190823,069500,25560,25705,25530,25645,5315158,136354559050,코스피 200
20190826,069500,25195,25330,25130,25270,3822419,96523013695,코스피 200
20190827,069500,25395,25510,25295,25350,3628909,92174657540,코스피 200
20190828,069500,25440,25615,25390,25595,3446267,88058322475,코스피 200
20190829,069500,25605,25620,25395,25455,5459497,139233347825,코스피 200
20190830,069500,25620,25980,25620,25875,5034907,130359825900,코스피 200
20190902,069500,25840,25985,25810,25920,5522110,143267119115,코스피 200
20190903,069500,25850,25990,25770,25820,5531496,143078913050,코스피 200
20190904,069500,25800,26205,25775,26205,4401808,114801511065,코스피 200
20190905,069500,26250,26620,26235,26435,6303976,166865300295,코스피 200
20190906,069500,26615,26625,26490,26555,6789757,180467926275,코스피 200
20190909,069500,26615,26885,26605,26770,3665074,98153750865,코스피 200
20190910,069500,26800,26910,26750,26885,4072425,109444904665,코스피 200
20190911,069500,26970,27130,26960,27085,4178533,113086936305,코스피 200
20190916,069500,27195,27200,26975,27170,3819685,103701730005,코스피 200
20190917,069500,27170,27230,27080,27160,6013912,163449119010,코스피 200
20190918,069500,27210,27370,27120,27310,4144114,113128843900,코스피 200
20190919,069500,27280,27610,27280,27490,5069415,139352999700,코스피 200
20190920,069500,27480,27680,27440,27640,5226171,144261778968,코스피 200
20190923,069500,27580,27705,27575,27675,4037781,111627654035,코스피 200
20190924,069500,27675,27840,27580,27840,5340976,148059528260,코스피 200
20190925,069500,27705,27720,27430,27440,5763988,158696685090,코스피 200
20190926,069500,27530,27650,27360,27490,5175058,142334086095,코스피 200
20190927,069500,27440,27445,27120,27200,3511954,95688933980,코스피 200
20190930,069500,27135,27455,27085,27430,4366440,119553967300,코스피 200
20191001,069500,27390,27620,27360,27495,2301038,63309188090,코스피 200
20191002,069500,27300,27300,26910,26910,5181969,140117948275,코스피 200
20191004,069500,26845,27090,26800,26800,5517315,148476114590,코스피 200
20191007,069500,26930,27040,26775,26845,3762658,101152415215,코스피 200
